"sku","name","url","price","in_stock","image_url","categories"
"193942","Mattemoiselle Plush Matte Lipstick","https://www.sephora.com.au/products/fenty-beauty-mattemoiselle-plush-matte-lipstick/v/turks-and-caicos","29.0","true","https://static-reg.lximg.com/images/product_images/default_1_Product_193942_20Fenty_20Beauty_20Mattemoiselle_20Plush_20Matte_20Lipstick_20Turks_20and_20Caicos_289554e074c5ed20966f0b173ef0509006ad27e0_1544436265.png","makeup|lips|lipstick|fenty-beauty"
"201030","Mattifying Cleanser","https://www.sephora.com.au/products/sephora-collection-mattifying-cleanser/v/125ml","24.0","true","https://static-reg.lximg.com/images/product_images/default_1_Product_3378872135012-Sephora-Collection-Matifying-Cleanser-_dfe99ce9fa2afd349af89a24e02ced0f15dc81b5_1566293523.png","skincare|cleanser-and-exfoliator|facial-cleanser|sephora-collection"
"32651","Rose Cream Cleanser","https://www.sephora.com.au/products/pixi-rose-cream-cleanser/v/default","32.0","true","https://static-reg.lximg.com/images/product_images/default_32651_Pixi_WEB_b0069dcb12d4ab37d08080a739a6ce295d58096b_1523779123.png","skincare|cleanser-and-exfoliator|facial-cleanser|pixi"
"",,,,,,
"""","32","false",,,"pixi-rose-cream-cleanser","4.0"
"32653","T-Zone Peel Off Mask","https://www.sephora.com.au/products/pixi-t-zone-peel-off-mask/v/default","38.0","false","https://static-reg.lximg.com/images/product_images/default_32653_Pixi_WEB_f1bc62c19048a9d0614e8af409ed9d297c044107_1523779125.png","skincare|masks-and-treatments|mask|pixi"
"""","38","false",,,"pixi-t-zone-peel-off-mask","3.5"
"32809","Brow Struck Dimension Powder","https://www.sephora.com.au/products/kvd-vegan-beauty-brow-struck-dimension-powder/v/dark-brown","22.0","true","https://static-reg.lximg.com/images/product_images/default_32809_KatVonDBeauty_BrowStruckDimensionPowder_DarkBrown_WEB_492cb2acacfe243350943a7a9fa03d105105dadd_1523779257.png","makeup|eyes|eyebrows|kvd-vegan-beauty"
"32808","Brow Struck Dimension Powder","https://www.sephora.com.au/products/kvd-vegan-beauty-brow-struck-dimension-powder/v/medium-brown","32.0","true","https://static-reg.lximg.com/images/product_images/default_32808_KatVonDBeauty_BrowStruckDimensionPowder_MediumBrown_WEB_74c3623b86a7bbb362902570c8622c4ab0a895a2_1523779257.png","makeup|eyes|eyebrows|kvd-vegan-beauty"
"207655","Brow Struck Dimension Powder","https://www.sephora.com.au/products/kvd-vegan-beauty-brow-struck-dimension-powder/v/auburn","32.0","true","https://static-reg.lximg.com/images/product_images/default_1_Product_810763038246-Kat-Von-D-Brow-Struck-Dimension-Powder-Auburn_1cea7cdfa559a456407a65df81ec2cc522042751_1559493512.png","makeup|eyes|eyebrows|kvd-vegan-beauty"
"32811","Brow Struck Dimension Powder","https://www.sephora.com.au/products/kvd-vegan-beauty-brow-struck-dimension-powder/v/graphite","32.0","true","https://static-reg.lximg.com/images/product_images/default_32811_KatVonDBeauty_BrowStruckDimensionPowder_Graphite_WEB_b45553c47a2eed43d1f4e943c4f73505e929447b_1523779284.png","makeup|eyes|eyebrows|kvd-vegan-beauty"
"32810","Brow Struck Dimension Powder","https://www.sephora.com.au/products/kvd-vegan-beauty-brow-struck-dimension-powder/v/walnut","32.0","true","https://static-reg.lximg.com/images/product_images/default_32810_KatVonDBeauty_BrowStruckDimensionPowder_Walnut_WEB_6cbe52a76068ed7899b5d8999056dd84268adc72_1523779257.png","makeup|eyes|eyebrows|kvd-vegan-beauty"
"32807","Brow Struck Dimension Powder","https://www.sephora.com.au/products/kvd-vegan-beauty-brow-struck-dimension-powder/v/light-brown","22.0","false","https://static-reg.lximg.com/images/product_images/default_32807_KatVonDBeauty_BrowStruckDimensionPowder_LightBrown_WEB_00866b723f49c0efc6e0e7bd7421f397c0c8cc7b_1523779257.png","makeup|eyes|eyebrows|kvd-vegan-beauty"
"32806","Brow Struck Dimension Powder","https://www.sephora.com.au/products/kvd-vegan-beauty-brow-struck-dimension-powder/v/taupe","22.0","false","https://static-reg.lximg.com/images/product_images/default_32806_KatVonDBeauty_BrowStruckDimensionPowder_Taupe_WEB_bcd4dfce26960bc6ff04019c05c74c0fa6bea0af_1523779257.png","makeup|eyes|eyebrows|kvd-vegan-beauty"
"32805","Brow Struck Dimension Powder","https://www.sephora.com.au/products/kvd-vegan-beauty-brow-struck-dimension-powder/v/blonde","32.0","true","https://static-reg.lximg.com/images/product_images/default_32805_KatVonDBeauty_BrowStruckDimensionPowder_Blonde_WEB_ad10cd989651e94c744357520c7eccbbd25c069b_1523779257.png","makeup|eyes|eyebrows|kvd-vegan-beauty"
"32725","Sake Bomb Nourishing Shampoo","https://www.sephora.com.au/products/drybar-sake-bomb-nourishing-shampoo/v/50ml-travel-size","13.0","true","https://static-reg.lximg.com/images/product_images/default_32725_Drybar_SakeBombNourishingShampoo_50mlTravelSize_WEB_2a77d33ac75a4c8bfbb250e61873f895c84a1c82_1523779196.png","hair|shampoo-and-conditioner|shampoo|drybar"
"32726","Sake Bomb Nourishing Shampoo","https://www.sephora.com.au/products/drybar-sake-bomb-nourishing-shampoo/v/250ml-full-size","33.0","false","https://static-reg.lximg.com/images/product_images/default_32726_Drybar_SakeBombNourishingShampoo_250mlFullSize_WEB_2703e5fa95d1e79bdfaab4a2d95291681e103d32_1523779196.png","hair|shampoo-and-conditioner|shampoo|drybar"
"32812","#75 Powder Brow Brush","https://www.sephora.com.au/products/kvd-vegan-beauty-number-75-powder-brow-brush/v/default","28.0","true","https://static-reg.lximg.com/images/product_images/default_32812_KatVonDBeauty_75PowderBrowBrush_Default_WEB_14e1292138d62e10386403dfb656824262cf681b_1523779259.png","tools-and-brushes|brushes|eye-brushes|kvd-vegan-beauty"
"23060","Beyond Perfecting Foundation and Concealer","https://www.sephora.com.au/products/clinique-beyond-perfecting-foundation-and-concealer-30ml/v/golden-neutral","55.0","true","https://static-reg.lximg.com/images/product_images/default_23060_Clinique_Web_a530d336e4ed7c108be01f9a5151e49faecb78fc_1523777784.png","makeup|face|foundation|clinique"
"30235","Beyond Perfecting Foundation and Concealer","https://www.sephora.com.au/products/clinique-beyond-perfecting-foundation-and-concealer-30ml/v/sesame","55.0","true","https://static-reg.lximg.com/images/product_images/default_1_Product_20714898380-Clinique-Beyond-Perfecting-Foundation-and-Concealer-30ml-Sesame_a4052ae2ecbda86568d0b2f7f3a75ba1c5203eaf_1559206984.png","makeup|face|foundation|clinique"
